GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-service,com.transaction.service.model,BankAccount,105,23,0,0,12,2,17,6,17,6
transaction-service,com.transaction.service.model,WalletAccount,107,21,0,0,10,4,17,6,17,6
transaction-service,com.transaction.service.model,Transaction,64,28,0,0,6,5,9,8,9,8
transaction-service,com.transaction.service.exception,AuthenticationFailedException,4,0,0,0,2,0,1,0,1,0
transaction-service,com.transaction.service.exception,InvalidAmountException,0,4,0,0,0,2,0,1,0,1
transaction-service,com.transaction.service.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
transaction-service,com.transaction.service.exception,GlobalExceptionHandler,7,3,0,0,1,1,1,1,1,1
transaction-service,com.transaction.service.exception,InvalidAccountIdException,4,0,0,0,2,0,1,0,1,0
transaction-service,com.transaction.service,TransactionServiceApplication,5,3,0,0,2,1,1,1,1,1
transaction-service,com.transaction.service.dto,BankAccountDTO,104,0,0,0,12,0,19,0,19,0
transaction-service,com.transaction.service.dto,AddMoneyRequest,14,3,0,0,3,1,4,1,4,1
transaction-service,com.transaction.service.service,TransactionServiceImpl,259,77,31,7,51,14,26,3,7,3
transaction-service,com.transaction.service.controller,TransactionController,0,113,0,0,0,25,0,8,0,8
